P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,P_TPERI,P_ANGULAR_DISTANCE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_METALLICITY,S_MASS,S_RADIUS,S_TYPE,S_AGE,S_TEMPERATURE,S_LOG_G,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
HAT-P-24 b,3.0,238.371,-79.457001,79.457001,3.35524,,0.07,88.6,,,,HAT-P-24,108.82506,14.262599,11.818,420.26,-0.16,1.37,1.38,F8,,6373.0,4.27,0.0025293634,0.048823419,0.045294807,0.05211338,0.048733973,1189.4829,1036.3919,1371.9101,1494.8053,1445.526,1550.5163,Jovian,1.38,2.8146377,1.2144377,2.8246589,1.5382106,2.6780343,1.6257827,2.6780343,1.4847079,2.6780343,4.5297582,6.2622537,0.51237899,0,0,0,0.062908338,14.573,238.371,0.048704094
HAT-P-25 b,3.0,180.84413,-6.9922161,7.3100441,3.6528151,0.0466,0.023,88.22,287.0,2455200.8,0.154,HAT-P-25,48.435419,25.197405,13.19,302.95,0.294,1.01,0.92,G5,,5519.0,4.52,0.0025668079,0.046612326,0.0455282,0.0476718,0.046603082,324.07755,309.58704,339.42585,1080.8466,1068.6626,1093.5311,Jovian,0.92,0.70356767,0.63916259,1.5171305,0.80958426,1.4383774,0.85629752,1.4383774,0.78152599,1.4383774,2.2647314,1.3044062,0.46286917,0,0,0,0.073312811,12.72335,180.84413,0.0466
HAT-P-26 b,3.0,22.24796,-6.3565601,6.3565601,4.23452,,0.12,88.6,,,,HAT-P-26,213.15638,4.059997,11.744,142.41,-0.04,1.12,0.87,K1,,5079.0,4.56,0.0012678765,0.053567421,0.046802353,0.059566632,0.053280682,160.70138,127.18442,206.01774,904.62801,855.56575,965.20834,Jovian,0.87,0.45127368,0.52415551,1.2633703,0.66391931,1.1977887,0.70255125,1.1977887,0.64093774,1.1977887,1.8137765,0.63399598,0.47909739,0,0,0,0.1222707,7.0623,22.24796,0.053184492
HAT-P-27 b,3.0,197.05336,-9.5348401,9.5348401,3.039577,0.04,0.0,85.0,0.0,,0.196,HAT-P-27,222.76744,5.947368,,204.0,0.29,0.94,0.9,G8,4.4,5300.0,4.51,0.0023768249,0.04,0.04,0.04,0.040000001,357.89626,357.89626,357.89626,1108.1134,1108.1134,1108.1134,Jovian,0.9,0.57263402,0.58371954,1.3955718,0.73936227,1.3231283,0.78219739,1.3231283,0.71375573,1.3231283,2.0431598,0.87420881,0.44858309,0,0,0,0.079928269,11.4342,197.05336,0.04
HAT-P-28 b,3.0,198.96033,-11.759636,11.759636,3.257215,0.0434,0.051,88.0,233.0,,0.11,HAT-P-28,13.000766,34.728413,13.03,395.0,0.12,1.02,1.1,G3,6.1,5680.0,4.36,0.0023892591,0.043456442,0.0411866,0.0456134,0.043414126,599.86488,542.35353,665.20496,1260.2196,1229.4632,1293.8495,Jovian,1.1,1.1284111,0.80187507,1.8942763,1.0156769,1.795946,1.0741167,1.795946,0.98045459,1.795946,2.8681209,1.7256953,0.48675812,0,0,0,0.067817587,13.58652,198.96033,0.0434
HAT-P-29 b,3.0,279.68864,-79.457001,79.457001,5.72319,,0.09,87.1,,,,HAT-P-29,33.131142,51.778759,11.9,316.36,0.21,1.45,1.3,F8,,6087.0,4.34,0.0037266609,0.07114532,0.064481093,0.077235595,0.070930282,415.69291,348.46051,499.94678,1148.6196,1100.7363,1204.6915,Jovian,1.3,2.0786844,1.061859,2.4832717,1.3449645,2.3543677,1.4218488,2.3543677,1.2982422,2.3543677,3.8927638,3.9044218,0.52216424,0,0,0,0.070719055,13.1157,279.68864,0.070858344
HAT-P-3 b,3.0,206.5882,-34.96108,34.96108,2.8997,,0.0,87.24,,,,HAT-P-3,206.09412,48.028667,11.577,135.08,0.27,1.06,0.87,K,,5185.0,4.56,0.0023526932,0.040567684,0.040567684,0.040567684,0.040567685,297.82542,297.82542,297.82542,1058.3647,1058.3647,1058.3647,Jovian,0.87,0.49014231,0.54333629,1.3043854,0.68821304,1.236675,0.72817397,1.236675,0.66438512,1.236675,1.8902745,0.74679996,0.47038459,0,0,0,0.086213809,10.5374,206.5882,0.040567684
HAT-P-30 b,3.0,263.79724,-57.209041,57.209041,2.8106,,0.04,83.6,,,,HAT-P-30,123.94989,5.836719,10.419,215.29,0.13,1.55,1.31,F7,,6304.0,4.36,0.0023998758,0.045133614,0.043293634,0.046901437,0.045106561,1194.9181,1103.8848,1295.5315,1497.4388,1468.5064,1528.4699,Jovian,1.31,2.4282649,1.1326703,2.6376318,1.4346465,2.5007154,1.5164007,2.5007154,1.3847609,2.5007154,4.2073806,5.7958735,0.53390218,0,0,0,0.057415705,16.1424,263.79724,0.045097536
HAT-P-31 b,3.0,721.46957,-266.97552,266.97552,5.00542,,0.25,87.1,,,,HAT-P-31,271.53771,26.426662,11.66,347.48,0.15,1.31,1.39,,,6065.0,4.26,0.0038523202,0.064603736,0.046984535,0.078307558,0.063145818,616.40832,381.97426,1061.0396,1254.2468,1126.2983,1454.0449,Jovian,1.39,2.3422943,1.1286949,2.640825,1.4296206,2.5037425,1.5113712,2.5037425,1.3799622,2.5037425,4.1322302,3.634488,0.50478708,0,0,0,0.074304061,12.2189,721.46957,0.062646047
HAT-P-32 b,3.0,216.12304,-31.7828,34.96108,2.1500082,0.03397,0.159,88.98,50.0,2456237.0,0.117,HAT-P-32,31.042848,46.687836,11.289,291.51,-0.16,1.13,1.37,,,6001.0,4.22,0.0016464591,0.034399398,0.02856877,0.03937123,0.034078255,1914.2272,1406.91,2672.0292,1677.113,1560.3121,1831.7036,Jovian,1.37,2.1808424,1.0933646,2.5618058,1.3848732,2.428825,1.4641422,2.428825,1.3367827,2.428825,3.9872725,3.0995173,0.48051905,0,0,0,0.042685576,22.1958,216.12304,0.03397
