P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,P_TPERI,P_ANGULAR_DISTANCE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_METALLICITY,S_MASS,S_RADIUS,S_TYPE,S_AGE,S_TEMPERATURE,S_LOG_G,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
Kepler-135 c,3.0,,,,11.448708,0.103,,,,,0.163,Kepler-135,290.49513,38.795481,12.73,632.99,,,1.27,,,6090.0,4.27,,0.103,0.103,0.103,0.103,187.36601,187.36601,187.36601,942.57868,942.57868,942.57868,Terran,1.27,1.987766,1.0381873,2.4277575,1.3149815,2.3017351,1.3901484,2.3017351,1.2693001,2.3017351,3.8066803,,,0,0,0,0.29856295,1.15463,1.6270695,0.103
Kepler-1350 b,3.0,,,,4.4968604,,,,,,,Kepler-1350,288.25058,46.679602,16.283,350.0,-0.06,0.55,0.53,,4.57,3827.0,4.74,,0.043675382,0.043675382,0.043675382,0.043675384,28.300936,28.300936,28.300936,587.61803,587.61803,587.61803,Neptunian,0.53,0.05398514,0.18910512,0.48279405,0.23953048,0.45772677,0.25384848,0.45772677,0.23122494,0.45772677,0.62733698,0.058209656,0.37757083,0,0,0,0.27373382,2.52225,6.9062285,0.043675382
Kepler-1350 c,3.0,,,,1.7667891,,,,,,,Kepler-1350,288.25058,46.679602,16.283,350.0,-0.06,0.55,0.53,,4.57,3827.0,4.74,,0.02342899,0.02342899,0.02342899,0.023428991,98.348353,98.348353,98.348353,802.2998,802.2998,802.2998,Superterran,0.53,0.05398514,0.18910512,0.48279405,0.23953048,0.45772677,0.25384848,0.45772677,0.23122494,0.45772677,0.62733698,0.058209656,0.37757083,0,0,0,0.28197485,1.72634,3.6281006,0.02342899
Kepler-1351 b,3.0,,,,0.91614077,,,,,,,Kepler-1351,293.60872,42.197678,14.107,241.0,-0.03,0.7,0.67,,4.17,4439.0,4.64,,0.016387663,0.016387663,0.016387663,0.016387663,581.49339,581.49339,581.49339,1251.0685,1251.0685,1251.0685,Subterran,0.67,0.15616325,0.31667559,0.78461328,0.40111909,0.74388125,0.42477938,0.74388125,0.38723696,0.74388125,1.0669724,0.18052236,0.40297694,0,0,0,0.27955429,0.65018,0.20771421,0.016387663
Kepler-1352 b,3.0,,,,1.8778827,,,,,,,Kepler-1352,290.69374,48.701477,13.295,637.0,0.0,1.11,1.16,,3.16,6118.0,4.35,,0.030836342,0.030836342,0.030836342,0.030836343,1776.302,1776.302,1776.302,1653.9566,1653.9566,1653.9566,Terran,1.16,1.68905,0.95537199,2.2327799,1.2100856,2.1168787,1.2792278,2.1168787,1.168043,2.1168787,3.5090134,3.7670789,0.44869064,0,0,0,0.29238704,0.88559,0.62873346,0.030836342
Kepler-1353 b,3.0,,,,24.754397,,,,,,,Kepler-1353,295.73534,42.576252,15.514,596.0,-0.06,0.76,0.72,,4.68,4776.0,4.61,,0.15166394,0.15166394,0.15166394,0.15166394,10.506214,10.506214,10.506214,458.67648,458.67648,458.67648,Superterran,0.72,0.24166342,0.38895284,0.94915903,0.49266796,0.899887,0.52151644,0.899887,0.47562037,0.899887,1.3273004,0.33103807,0.42221826,0,0,0,0.38157096,1.80481,3.9125102,0.15166394
Kepler-1354 b,3.0,,,,76.613377,,,,,,,Kepler-1354,291.24519,37.759052,14.357,1057.0,0.03,1.16,1.24,,2.95,6168.0,4.31,,0.37085031,0.37085031,0.37085031,0.37085032,14.498137,14.498137,14.498137,497.13342,497.13342,497.13342,Neptunian,1.24,1.993928,1.0348641,2.4160898,1.3107695,2.2906731,1.3856096,2.2906731,1.2652187,2.2906731,3.812576,4.1657092,0.45014024,0,0,0,0.29117155,2.97065,9.117837,0.37085031
Kepler-1355 b,3.0,,,,1.2895881,,,,,,,Kepler-1355,283.74142,49.067978,15.471,963.0,-0.04,0.88,0.83,,4.27,5352.0,4.55,,0.022214563,0.022214563,0.022214563,0.022214564,1026.204,1026.204,1026.204,1441.9604,1441.9604,1441.9604,Terran,0.83,0.50641814,0.54738231,1.306356,0.69333524,1.2385437,0.73346412,1.2385437,0.66931912,1.2385437,1.9214027,0.93511478,0.43664019,0,0,0,0.28210643,1.4573,2.7211983,0.022214563
Kepler-1356 b,3.0,,,,0.63400294,,,,,,,Kepler-1356,290.99535,43.243938,15.76,881.0,-0.02,0.82,0.78,,4.9,5106.0,4.58,,0.013515797,0.013515797,0.013515797,0.013515798,2028.2326,2028.2326,2028.2326,1709.7175,1709.7175,1709.7175,Superterran,0.78,0.37051099,0.47430361,1.1420311,0.60077428,1.0827483,0.63571296,1.0827483,0.57997737,1.0827483,1.6434796,0.59854521,0.43637728,0,0,0,0.27847266,1.52456,2.9378483,0.013515797
Kepler-1357 b,3.0,,,,3.0091324,,,,,,,Kepler-1357,291.54809,50.353313,15.273,1026.0,-0.06,0.93,0.9,,4.57,5597.0,4.5,,0.039807484,0.039807484,0.039807484,0.039807485,449.43349,449.43349,449.43349,1173.0358,1173.0358,1173.0358,Terran,0.9,0.7121884,0.64016635,1.5159143,0.810854,1.4372244,0.85757579,1.4372244,0.7827437,1.4372244,2.2785639,1.4509883,0.44981975,0,0,0,0.29076566,1.27794,2.1773119,0.039807484
Kepler-1358 b,3.0,,,,7.0631734,,,,,,,Kepler-1358,286.17054,43.008911,14.572,558.0,-0.08,0.82,0.79,,5.13,5181.0,4.57,,0.067418759,0.067418759,0.067418759,0.06741876,88.641214,88.641214,88.641214,781.7247,781.7247,781.7247,Terran,0.79,0.40289994,0.49271534,1.1830341,0.62409443,1.121623,0.66033518,1.121623,0.60248669,1.121623,1.7138088,0.68085685,0.43972621,0,0,0,0.3074937,1.121,1.4635061,0.067418759
Kepler-1359 b,3.0,,,,59.497095,,,,,,,Kepler-1359,289.53882,41.892825,15.768,669.0,0.11,0.78,0.72,,2.34,4709.0,4.62,,0.27449743,0.27449743,0.27449743,0.27449744,3.0310412,3.0310412,3.0310412,336.15755,336.15755,336.15755,Neptunian,0.72,0.22838543,0.37916652,0.92797547,0.48027251,0.87980277,0.50843557,0.87980277,0.4636541,0.87980277,1.2903216,0.29761059,0.37942477,0,0,0,0.5093361,2.82492,8.3714933,0.27449743
Kepler-136 b,3.0,,,,11.5789,0.106,,,,,0.249,Kepler-136,296.46731,42.598771,12.459,425.94,,,1.35,,,6165.0,4.24,,0.106,0.106,0.106,0.106,209.9311,209.9311,209.9311,969.75964,969.75964,969.75964,Superterran,1.35,2.3587858,1.1257763,2.6284999,1.42592,2.4920573,1.5073383,2.4920573,1.3763682,2.4920573,4.1467516,,,0,0,0,0.25842919,2.05143,4.8629026,0.106
Kepler-136 c,3.0,,,,16.399235,0.133,,,,,0.312,Kepler-136,296.46731,42.598771,12.459,425.94,,,1.35,,,6165.0,4.24,,0.133,0.133,0.133,0.133,133.34761,133.34761,133.34761,865.74744,865.74744,865.74744,Superterran,1.35,2.3587858,1.1257763,2.6284999,1.42592,2.4920573,1.5073383,2.4920573,1.3763682,2.4920573,4.1467516,,,0,0,0,0.26485555,1.99538,4.6394796,0.133
Kepler-1360 b,3.0,,,,40.528641,,,,,,,Kepler-1360,300.34408,45.623219,13.913,1405.0,0.06,1.51,1.83,,1.55,6778.0,4.09,,0.26485606,0.26485606,0.26485606,0.26485607,90.277027,90.277027,90.277027,785.30655,785.30655,785.30655,Neptunian,1.83,6.3328191,1.7802915,4.117548,2.2548999,3.9038133,2.3825953,3.9038133,2.1763433,3.9038133,6.7945753,12.97161,0.44150853,0,0,0,0.20823042,3.39663,11.447163,0.26485606
Kepler-1361 b,3.0,,,,3.5755496,,,,,,,Kepler-1361,283.56531,46.904255,13.93,404.0,0.0,0.83,0.79,,4.9,5131.0,4.57,,0.04299627,0.04299627,0.04299627,0.042996271,209.64732,209.64732,209.64732,969.43175,969.43175,969.43175,Terran,0.79,0.38757066,0.48448935,1.1654524,0.61367569,1.1049538,0.6493468,1.1049538,0.59243106,1.1049538,1.6808897,0.62734242,0.43814401,0,0,0,0.29768441,0.86317,0.57352358,0.04299627
Kepler-1362 b,3.0,,,,136.20563,,,,,,,Kepler-1362,288.53854,40.877113,15.839,767.0,0.06,0.8,0.74,,3.09,4857.0,4.6,,0.4808426,0.4808426,0.4808426,0.48084262,1.1809149,1.1809149,1.1809149,265.58257,265.58257,265.58257,Neptunian,0.74,0.27303888,0.41198471,1.0019126,0.52184071,0.94990243,0.55234497,0.94990243,0.50378275,0.94990243,1.4108343,0.38702495,0.40078788,1,0,0,0.68022591,2.60072,7.2749643,0.4808426
Kepler-1363 b,3.0,,,,2.9419409,,,,,,,Kepler-1363,296.99656,49.256413,15.29,559.0,-0.09,0.76,0.72,,4.17,4839.0,4.61,,0.036660922,0.036660922,0.036660922,0.036660923,189.48262,189.48262,189.48262,945.22947,945.22947,945.22947,Terran,0.72,0.25466903,0.39820021,0.96912237,0.50438071,0.91881431,0.53387555,0.91881431,0.4869272,0.91881431,1.3625481,0.36887853,0.41417643,0,0,0,0.29574694,1.25552,2.1128564,0.036660922
Kepler-1364 b,3.0,,,,13.321962,,,,,,,Kepler-1364,295.1522,49.587605,13.228,1149.0,0.04,1.49,1.79,,1.58,6805.0,4.1,,0.12558867,0.12558867,0.12558867,0.12558867,390.30698,390.30698,390.30698,1132.3912,1132.3912,1132.3912,Superterran,1.79,6.1561221,1.7527806,4.0527231,2.2200534,3.8423536,2.3457328,3.8423536,2.1427036,3.8423536,6.6991143,13.527229,0.4409572,0,0,0,0.25052409,2.15232,5.2758784,0.12558867
Kepler-1365 b,3.0,,,,7.6999348,,,,,,,Kepler-1365,292.19971,42.046089,13.421,541.0,0.03,1.0,1.05,,6.03,5770.0,4.39,,0.076295851,0.076295851,0.076295851,0.076295853,188.09127,188.09127,188.09127,943.4895,943.4895,943.4895,Terran,1.05,1.09489,0.78564215,1.851343,0.99511338,1.7552415,1.0522833,1.7552415,0.96059165,1.7552415,2.8251988,2.0010042,0.48262638,0,0,0,0.29973948,0.91922,0.71859407,0.076295851
Kepler-1365 c,3.0,,,,4.77468,,,,,,,Kepler-1365,292.19971,42.046089,13.421,541.0,0.03,1.0,1.05,,6.03,5770.0,4.39,,0.055480334,0.055480334,0.055480334,0.055480336,355.70696,355.70696,355.70696,1106.4149,1106.4149,1106.4149,Subterran,1.05,1.09489,0.78564215,1.851343,0.99511338,1.7552415,1.0522833,1.7552415,0.96059165,1.7552415,2.8251988,2.0010042,0.48262638,0,0,0,0.29228109,0.79591,0.42881536,0.055480334
Kepler-1366 b,3.0,,,,2.164571,,,,,,,Kepler-1366,285.06491,41.554874,15.877,395.0,-0.02,0.62,0.6,,3.98,4070.0,4.68,,0.027918237,0.027918237,0.027918237,0.027918238,113.55148,113.55148,113.55148,831.65482,831.65482,831.65482,Terran,0.6,0.088505199,0.24091226,0.6076526,0.30515291,0.57610479,0.32329886,0.57610479,0.29458241,0.57610479,0.80324525,0.091969685,0.38400414,0,0,0,0.2938536,1.43488,2.6505029,0.027918237
Kepler-1367 b,3.0,,,,1.5740903,,,,,,,Kepler-1367,288.41653,47.878731,15.571,357.0,-0.06,0.62,0.6,,3.89,4106.0,4.68,,0.022576669,0.022576669,0.022576669,0.022576669,179.86523,179.86523,179.86523,933.00014,933.00014,933.00014,Terran,0.6,0.091678379,0.24498052,0.61681537,0.31030606,0.58479214,0.32874399,0.58479214,0.29955836,0.58479214,0.81751783,0.097837409,0.38254306,0,0,0,0.30007933,0.91922,0.71859407,0.022576669
Kepler-1368 b,3.0,,,,0.67564949,,,,,,,Kepler-1368,294.76698,41.64468,15.892,1750.0,0.1,1.07,1.08,,3.47,5906.0,4.4,,0.015409378,0.015409378,0.015409378,0.015409378,5354.7566,5354.7566,5354.7566,2179.3644,2179.3644,2179.3644,Superterran,1.08,1.2714812,0.83969657,1.9718599,1.063576,1.8695026,1.1245445,1.8695026,1.026658,1.8695026,3.0445193,2.585322,0.45020227,0,0,0,0.27229142,1.64787,3.3525722,0.015409378
Kepler-1369 b,3.0,,,,25.873148,,,,,,,Kepler-1369,285.79723,40.936186,15.323,1236.0,0.0,0.99,0.99,,4.07,5761.0,4.45,,0.17059023,0.17059023,0.17059023,0.17059023,33.238563,33.238563,33.238563,611.72393,611.72393,611.72393,Neptunian,0.99,0.96727628,0.73883835,1.741471,0.9358308,1.6510728,0.98960294,1.6510728,0.90336685,1.6510728,2.6554556,1.963713,0.45050779,0,0,0,0.2595955,2.6904,7.7059808,0.17059023
Kepler-137 b,3.0,,,,8.436387,0.077,,,,,0.252,Kepler-137,282.13553,43.039101,12.99,305.65,,,0.8,,,5187.0,4.55,,0.077,0.077,0.077,0.077000002,70.008724,70.008724,70.008724,736.94139,736.94139,736.94139,Terran,0.8,0.41508172,0.4999533,1.2001477,0.63326225,1.1378483,0.67003102,1.1378483,0.61133678,1.1378483,1.7395246,,,0,0,0,0.2998271,1.46851,2.7568324,0.077
Kepler-137 c,3.0,,,,18.735753,0.13,,,,,0.425,Kepler-137,282.13553,43.039101,12.99,305.65,,,0.8,,,5187.0,4.55,,0.13,0.13,0.13,0.13,24.561049,24.561049,24.561049,567.16136,567.16136,567.16136,Superterran,0.8,0.41508172,0.4999533,1.2001477,0.63326225,1.1378483,0.67003102,1.1378483,0.61133678,1.1378483,1.7395246,,,0,0,0,0.31316611,1.88328,4.2056823,0.13
Kepler-1370 b,3.0,,,,20.264168,,,,,,,Kepler-1370,284.56567,41.778484,13.701,878.0,0.05,1.19,1.29,,2.88,6202.0,4.29,,0.15411482,0.15411482,0.15411482,0.15411483,92.876597,92.876597,92.876597,790.89983,790.89983,790.89983,Superterran,1.29,2.2059472,1.0862478,2.534352,1.3758513,2.4027965,1.4543686,2.4027965,1.3280316,2.4027965,4.0101566,4.4540315,0.45217433,0,0,0,0.2771243,1.83844,4.0370889,0.15411482
Kepler-1370 c,3.0,,,,7.4414211,,,,,,,Kepler-1370,284.56567,41.778484,13.701,878.0,0.05,1.19,1.29,,2.88,6202.0,4.29,,0.079030695,0.079030695,0.079030695,0.079030697,353.18603,353.18603,353.18603,1104.4493,1104.4493,1104.4493,Terran,1.29,2.2059472,1.0862478,2.534352,1.3758513,2.4027965,1.4543686,2.4027965,1.3280316,2.4027965,4.0101566,4.4540315,0.45217433,0,0,0,0.29197988,1.26673,2.1449845,0.079030695
Kepler-1371 b,3.0,,,,3.4462039,,,,,,,Kepler-1371,288.83138,47.551994,13.851,450.0,-0.07,0.87,0.83,,4.37,5361.0,4.55,,0.042616386,0.042616386,0.042616386,0.042616387,280.72096,280.72096,280.72096,1042.8302,1042.8302,1042.8302,Subterran,0.83,0.50983314,0.54895316,1.3097053,0.69532479,1.2417192,0.735562,1.2417192,0.67123909,1.2417192,1.9278703,0.94607487,0.43666142,0,0,0,0.28919335,0.72865,0.31248784,0.042616386
Kepler-1371 c,3.0,,,,2.0054127,,,,,,,Kepler-1371,288.83138,47.551994,13.851,450.0,-0.07,0.87,0.83,,4.37,5361.0,4.55,,0.029704242,0.029704242,0.029704242,0.029704242,577.81808,577.81808,577.81808,1249.087,1249.087,1249.087,Subterran,0.83,0.50983314,0.54895316,1.3097053,0.69532479,1.2417192,0.735562,1.2417192,0.67123909,1.2417192,1.9278703,0.94607487,0.43666142,0,0,0,0.27832697,0.63897,0.19516146,0.029704242
Kepler-1372 b,3.0,,,,1.3115556,,,,,,,Kepler-1372,288.88664,44.83955,15.371,1161.0,0.05,0.98,0.97,,5.01,5677.0,4.46,,0.023286776,0.023286776,0.023286776,0.023286777,1614.6893,1614.6893,1614.6893,1614.98,1614.98,1614.98,Terran,0.97,0.87560391,0.70648692,1.6690818,0.89485571,1.5824411,0.94634635,1.5824411,0.86382371,1.5824411,2.5264902,1.6940819,0.46480753,0,0,0,0.28888383,1.26673,2.1449845,0.023286776
Kepler-1373 b,3.0,,,,1.2912328,,,,,,,Kepler-1373,285.75205,39.249205,14.135,1112.0,0.03,1.22,1.33,,2.51,6299.0,4.27,,0.024791293,0.024791293,0.024791293,0.024791293,4059.5698,4059.5698,4059.5698,2033.5971,2033.5971,2033.5971,Terran,1.33,2.4950449,1.1484846,2.6746977,1.4546771,2.5358573,1.5375785,2.5358573,1.4040961,2.5358573,4.2648421,5.3055574,0.4456122,0,0,0,0.29142201,1.15463,1.6270695,0.024791293
Kepler-1374 b,3.0,,,,10.652767,,,,,,,Kepler-1374,291.34998,45.172267,15.97,1135.0,-0.13,0.85,0.81,,4.47,5323.0,4.56,,0.089734095,0.089734095,0.089734095,0.089734098,58.60971,58.60971,58.60971,704.91589,704.91589,704.91589,Superterran,0.81,0.47193757,0.52925705,1.2643531,0.67037757,1.1987212,0.70919901,1.1987212,0.64715866,1.1987212,1.8548383,0.87944007,0.43492636,0,0,0,0.26267212,2.28684,5.8478451,0.089734095
Kepler-1375 b,3.0,,,,3.3004192,,,,,,,Kepler-1375,296.29356,43.403267,13.749,1238.0,0.09,1.47,1.78,,1.66,6704.0,4.11,,0.049316782,0.049316782,0.049316782,0.049316784,2357.6276,2357.6276,2357.6276,1775.2671,1775.2671,1775.2671,Superterran,1.78,5.7340922,1.7008094,3.9370935,2.1542324,3.7327254,2.2763414,3.7327254,2.0792027,3.7327254,6.4654106,11.321256,0.44260396,0,0,0,0.26825832,1.73755,3.6681895,0.049316782
Kepler-1376 b,3.0,,,,5.3088066,,,,,,,Kepler-1376,286.95844,42.541386,14.699,864.0,0.07,0.98,0.97,,4.68,5659.0,4.46,,0.059144747,0.059144747,0.059144747,0.059144749,247.14881,247.14881,247.14881,1010.1469,1010.1469,1010.1469,Terran,0.97,0.86455154,0.70276222,1.6611335,0.89013835,1.5749055,0.94137335,1.5749055,0.85927211,1.5749055,2.5104942,1.6424958,0.45955889,0,0,0,0.29834828,1.05374,1.1724075,0.059144747
Kepler-1377 b,3.0,,,,0.74092842,,,,,,,Kepler-1377,289.19546,46.651703,15.918,1019.0,0.05,0.86,0.82,,5.01,5218.0,4.55,,0.01523561,0.01523561,0.01523561,0.015235611,1924.0349,1924.0349,1924.0349,1687.3227,1687.3227,1687.3227,Terran,0.82,0.44661433,0.51775844,1.241484,0.65581456,1.1770389,0.69386963,1.1770389,0.63310654,1.1770389,1.8043887,0.73715198,0.44500403,0,0,0,0.28910022,1.25552,2.1128564,0.01523561
Kepler-1378 b,3.0,,,,11.953989,,,,,,,Kepler-1378,297.37331,40.366398,15.911,562.0,0.03,0.7,0.67,,6.46,4407.0,4.63,,0.090827526,0.090827526,0.090827526,0.090827528,18.389736,18.389736,18.389736,527.58056,527.58056,527.58056,Superterran,0.67,0.15170869,0.31245468,0.77532291,0.39577271,0.73507297,0.41913407,0.73507297,0.38207494,0.73507297,1.0516446,0.17086584,0.43347388,0,0,0,0.31277604,2.19716,5.4638433,0.090827526
Kepler-1379 b,3.0,,,,0.88184115,,,,,,,Kepler-1379,293.67047,41.410248,15.919,951.0,-0.04,0.83,0.79,,5.01,5188.0,4.57,,0.016909437,0.016909437,0.016909437,0.016909437,1416.7213,1416.7213,1416.7213,1563.0253,1563.0253,1563.0253,Terran,0.79,0.40508177,0.49386866,1.1854979,0.62555518,1.1239589,0.66187575,1.1239589,0.6038965,1.1239589,1.718443,0.69188415,0.4397682,0,0,0,0.28788018,1.30036,2.2425611,0.016909437
Kepler-138 b,3.0,0.066743881,-0.03813936,0.060387321,10.3126,,,,,,,Kepler-138,290.38155,43.292973,12.925,66.99,-0.28,0.52,0.44,M1 V,,3841.0,4.89,0.00037613522,0.074545733,0.074545733,0.074545733,0.074545734,6.7940018,6.7940018,6.7940018,411.31668,411.31668,411.31668,Subterran,0.44,0.037754718,0.15810336,0.40336234,0.20026206,0.38241935,0.21222925,0.38241935,0.19331857,0.38241935,0.52462549,0.058522235,0.37098149,0,0,0,0.43050409,0.52687,0.066743881,0.074545733
Kepler-138 c,3.0,1.9705336,-1.1187546,1.9133246,13.7813,,,,,,,Kepler-138,290.38155,43.292973,12.925,66.99,-0.28,0.52,0.44,M1 V,,3841.0,4.89,0.0014104233,0.090442133,0.090442133,0.090442133,0.090442136,4.6156156,4.6156156,4.6156156,373.42408,373.42408,373.42408,Terran,0.44,0.037754718,0.15810336,0.40336234,0.20026206,0.38241935,0.21222925,0.38241935,0.19331857,0.38241935,0.52462549,0.058522235,0.37098149,0,0,0,0.54023493,1.19947,1.9705336,0.090442133
Kepler-138 d,3.0,0.63883429,-0.38775016,0.67379537,23.0881,,,,,,,Kepler-138,290.38155,43.292973,12.925,66.99,-0.28,0.52,0.44,M1 V,,3841.0,4.89,0.0013667307,0.12757614,0.12757614,0.12757614,0.12757615,2.3197024,2.3197024,2.3197024,314.4148,314.4148,314.4148,Terran,0.44,0.037754718,0.15810336,0.40336234,0.20026206,0.38241935,0.21222925,0.38241935,0.19331857,0.38241935,0.52462549,0.058522235,0.37098149,0,0,0,0.71093475,1.21068,0.63883429,0.12757614
Kepler-1380 b,3.0,,,,10.310825,,,,,,,Kepler-1380,288.11605,42.440422,15.619,1209.0,0.1,0.96,0.94,,4.79,5570.0,4.48,,0.091438459,0.091438459,0.091438459,0.091438462,91.139645,91.139645,91.139645,787.17582,787.17582,787.17582,Terran,0.94,0.76201783,0.66322545,1.571789,0.84006195,1.4901986,0.88848974,1.4901986,0.81094201,1.4901986,2.3569281,1.3999574,0.4581818,0,0,0,0.2968079,1.43488,2.6505029,0.091438459
Kepler-1381 b,3.0,,,,25.384269,,,,,,,Kepler-1381,287.53576,48.727791,15.535,1306.0,-0.1,0.96,0.94,,4.07,5747.0,4.48,,0.16671567,0.16671567,0.16671567,0.16671567,31.071077,31.071077,31.071077,601.49772,601.49772,601.49772,Superterran,0.94,0.86359306,0.69870395,1.647495,0.88499591,1.561975,0.93585899,1.561975,0.85429719,1.561975,2.5091022,1.8974822,0.44591045,0,0,0,0.28321468,2.25321,5.702589,0.16671567
Kepler-1382 b,3.0,,,,16.358306,,,,,,,Kepler-1382,295.37738,39.048031,12.683,730.0,0.3,1.36,1.72,,2.75,6161.0,4.1,,0.13969518,0.13969518,0.13969518,0.13969518,195.69853,195.69853,195.69853,952.88787,952.88787,952.88787,Superterran,1.72,3.8190063,1.4328105,3.3456426,1.8148128,3.1719739,1.9184425,3.1719739,1.7517478,3.1719739,5.2764152,4.3400337,0.46913005,0,0,0,0.26732843,1.88328,4.2056823,0.13969518
Kepler-1383 b,3.0,,,,13.909358,,,,,,,Kepler-1383,297.94478,42.191882,13.716,961.0,0.03,1.26,1.44,,2.24,6370.0,4.23,,0.12222812,0.12222812,0.12222812,0.12222813,204.75244,204.75244,204.75244,963.7229,963.7229,963.7229,Terran,1.44,3.0589428,1.2662725,2.9453703,1.6038649,2.7924797,1.6951785,2.7924797,1.5480793,2.7924797,4.7222552,6.0586467,0.44196684,0,0,0,0.28940708,1.41246,2.5805743,0.12222812
Kepler-1384 b,3.0,,,,15.362628,,,,,,,Kepler-1384,296.21517,39.527049,15.384,618.0,-0.06,0.78,0.74,,4.57,4919.0,4.6,,0.11130588,0.11130588,0.11130588,0.11130588,23.185859,23.185859,23.185859,559.05007,559.05007,559.05007,Superterran,0.74,0.28724956,0.42139075,1.0221583,0.53375434,0.9690974,0.56491449,0.9690974,0.51528298,0.9690974,1.4470831,0.42690688,0.42420496,0,0,0,0.31313066,1.93933,4.4203935,0.11130588
Kepler-1385 b,3.0,,,,2.8887986,,,,,,,Kepler-1385,282.63137,46.481106,12.858,527.0,0.41,1.15,1.29,,4.37,5732.0,4.27,,0.041580242,0.041580242,0.041580242,0.041580243,930.93376,930.93376,930.93376,1407.2608,1407.2608,1407.2608,Terran,1.29,1.6095067,0.95471726,2.2520764,1.2092693,2.1351731,1.2787867,2.1351731,1.1673247,2.1351731,3.4253911,1.9639396,0.47922304,0,0,0,0.29215032,0.85196,0.54727185,0.041580242
Kepler-1386 b,3.0,,,,6.7397238,,,,,,,Kepler-1386,280.82339,42.636056,14.455,838.0,0.11,1.02,1.03,,5.01,5733.0,4.41,,0.070275565,0.070275565,0.070275565,0.070275567,207.91325,207.91325,207.91325,967.42087,967.42087,967.42087,Terran,1.03,1.0268118,0.76251405,1.7986403,0.96581975,1.7052745,1.021341,1.7052745,0.93231933,1.7052745,2.7359566,1.8902026,0.4710473,0,0,0,0.29544522,1.24431,2.0809278,0.070275565
Kepler-1387 b,3.0,,,,2.2795267,,,,,,,Kepler-1387,292.4404,43.209431,14.589,491.0,0.02,0.82,0.77,,4.37,5046.0,4.58,,0.031720787,0.031720787,0.031720787,0.031720787,342.27185,342.27185,342.27185,1095.8162,1095.8162,1095.8162,Terran,0.77,0.34439678,0.45864254,1.1068799,0.58093796,1.0494216,0.61476402,1.0494216,0.56083001,1.0494216,1.5845039,0.53992058,0.42813069,0,0,0,0.29655131,0.93043,0.75050199,0.031720787
Kepler-1388 b,3.0,,,,12.28546,,,,,,,Kepler-1388,283.33604,47.174535,16.279,492.0,0.02,0.63,0.61,,4.47,4098.0,4.67,,0.089306698,0.089306698,0.089306698,0.0893067,11.788758,11.788758,11.788758,472.07601,472.07601,472.07601,Neptunian,0.61,0.094023439,0.24814242,0.62502324,0.31431109,0.59257382,0.33299025,0.59257382,0.30342438,0.59257382,0.82790754,0.097017993,0.39360107,0,0,0,0.32628915,2.58951,7.2218056,0.089306698
Kepler-1388 c,3.0,,,,5.5360815,,,,,,,Kepler-1388,283.33604,47.174535,16.279,492.0,0.02,0.63,0.61,,4.47,4098.0,4.67,,0.05249179,0.05249179,0.05249179,0.052491792,34.123484,34.123484,34.123484,615.75543,615.75543,615.75543,Superterran,0.61,0.094023439,0.24814242,0.62502324,0.31431109,0.59257382,0.33299025,0.59257382,0.30342438,0.59257382,0.82790754,0.097017993,0.39360107,0,0,0,0.27910269,2.26442,5.7508411,0.05249179
Kepler-1388 d,3.0,,,,20.956816,,,,,,,Kepler-1388,283.33604,47.174535,16.279,492.0,0.02,0.63,0.61,,4.47,4098.0,4.67,,0.12749895,0.12749895,0.12749895,0.12749895,5.7839284,5.7839284,5.7839284,395.09418,395.09418,395.09418,Neptunian,0.61,0.094023439,0.24814242,0.62502324,0.31431109,0.59257382,0.33299025,0.59257382,0.30342438,0.59257382,0.82790754,0.097017993,0.39360107,0,0,0,0.39614025,2.85855,8.541399,0.12749895
Kepler-1388 e,3.0,,,,37.632708,,,,,,,Kepler-1388,283.33604,47.174535,16.279,492.0,0.02,0.63,0.61,,4.47,4098.0,4.67,,0.18836494,0.18836494,0.18836494,0.18836494,2.6499397,2.6499397,2.6499397,325.0528,325.0528,325.0528,Superterran,0.61,0.094023439,0.24814242,0.62502324,0.31431109,0.59257382,0.33299025,0.59257382,0.30342438,0.59257382,0.82790754,0.097017993,0.39360107,0,0,0,0.56313996,2.45499,6.5964694,0.18836494
