kepid,kepoi_name,planet_name,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,P_TPERI,P_ANGULAR_DISTANCE,star_name,S_RA,S_DEC,S_MAG,S_DISTANCE,S_METALLICITY,S_MASS,S_RADIUS,S_TYPE,S_AGE,S_TEMPERATURE,S_LOG_G,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
9141355,K05622.01,Kepler-1635 b,469.61309,422.5089,0.906,13.709,1234.7,3.24,200.0,0.37,18.2,5474.0,4.598,0.763,285.349,45.556179,15.696,3.0,,,,469.63111,,,,,,,Kepler-1635,285.34899,45.556183,15.696,1084.0,0.06,0.89,0.85,,4.9,5347.0,4.53,,1.1371319,1.1371319,1.1371319,1.1371319,0.40920937,0.40920937,0.40920937,203.7658,203.7658,203.7658,Neptunian,0.85,0.52913591,0.55967881,1.3359294,0.70891054,1.266582,0.74994476,1.266582,0.68435528,1.266582,1.9640267,0.93061513,0.44845705,1.0,1.0,0.0,0.50008822,3.64325,12.893769,1.1371319
9142225,K05623.01,,583.73632,174.6085,0.126,15.75,338.6,2.65,266.0,1.19,11.4,6003.0,4.176,1.442,285.80096,45.571739,14.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9142334,K05624.01,,502.658,174.6294,0.3138,19.51,216.0,0.69,116.0,0.04,10.0,3754.0,4.773,0.473,285.85172,45.511349,13.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9147012,K05625.01,,116.454312,161.9891,0.006,15.826,2125.3,3.33,306.0,2.06,30.0,5197.0,4.548,0.736,288.42819,45.566269,16.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9147029,K05626.01,,397.499229,418.76194,0.5839,8.019,2629.7,6.57,293.0,1.73,34.8,6423.0,4.37,1.231,288.43582,45.519852,15.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9153246,K05627.01,,243.954706,221.2717,0.1207,2.562,291.7,1.35,257.0,1.03,5.2,5578.0,4.578,0.794,291.27625,45.568192,14.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9157030,K05628.01,,24.9093027,155.3824,0.679,3.8,332.6,1.32,452.0,9.9,10.4,4810.0,4.633,0.685,292.81415,45.546501,15.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9157523,K05629.01,,192.138741,269.2098,0.0503,3.218,151.4,1.93,407.0,6.48,8.2,6065.0,4.098,1.569,293.01486,45.577831,12.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9994381,K05749.01,,281.95332,231.2826,0.6164,2.756,1039.0,2.31,204.0,0.41,7.6,4864.0,4.628,0.692,282.93451,46.994869,15.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002266,K05750.01,,12.71368909,136.9328,0.196,1.875,192.2,1.09,700.0,56.78,9.8,5715.0,4.586,0.782,287.56247,46.95116,15.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
